C:/Users/NITRO/RiderProjects/Compiler/Compiler/bin/Debug/net6.0/Compiler.exe 
Right tests: 99/108
Test 001.txt OK
Test 002.txt OK
Test 003.txt OK
Test 004.txt OK
Test 005.txt OK
Test 006.txt OK
Test 007.txt OK
Test 008.txt OK
Test 009.txt OK
Test 010.txt OK
Test 011.txt OK
Test 012.txt OK
Test 013.txt OK
Test 014.txt OK
Test 015.txt OK
Test 016.txt OK
Test 017.txt OK
Test 018.txt OK
Test 019.txt OK
Test 020.txt OK
Test 021.txt OK
Test 022.txt OK
Test 023.txt OK
Test 024.txt OK
Test 025.txt OK
Test 026.txt OK
Test 027.txt OK
Test 028.txt OK
Test 029.txt OK
Test 030.txt OK
Test 031.txt OK
Test 032.txt OK
Test 033.txt OK
Test 034.txt OK
Test 035.txt OK
Test 036.txt OK
Test 037.txt OK
Test 038.txt OK
Test 039.txt OK
Test 040.txt OK
Test 041.txt OK
Test 042.txt OK
Test 043.txt OK
Test 044.txt OK
Test 045.txt OK
Test 046.txt OK
Test 047.txt OK
Test 048.txt OK
Test 049.txt OK
Test 050.txt OK
Test 051.txt OK
Test 052.txt OK
Test 053.txt OK
Test 054.txt OK
Test 055.txt OK
Test 056.txt OK
Test 057.txt OK
Test 058.txt FALSE
Test 059.txt OK
Test 060.txt OK
Test 061.txt FALSE
Test 062.txt OK
Test 063.txt FALSE
Test 064.txt FALSE
Test 065.txt OK
Test 066.txt OK
Test 067.txt OK
Test 068.txt OK
Test 069.txt OK
Test 070.txt OK
Test 071.txt OK
Test 072.txt OK
Test 073.txt OK
Test 074.txt OK
Test 075.txt OK
Test 076.txt OK
Test 077.txt FALSE
Test 078.txt OK
Test 079.txt OK
Test 080.txt FALSE
Test 081.txt OK
Test 082.txt OK
Test 083.txt OK
Test 084.txt OK
Test 085.txt OK
Test 086.txt OK
Test 087.txt OK
Test 088.txt OK
Test 089.txt FALSE
Test 090.txt FALSE
Test 091.txt OK
Test 092.txt OK
Test 093.txt OK
Test 094.txt OK
Test 095.txt FALSE
Test 096.txt OK
Test 097.txt OK
Test 098.txt OK
Test 099.txt OK
Test 100.txt OK
Test 101.txt OK
Test 102.txt OK
Test 103.txt OK
Test 104.txt OK
Test 105.txt OK
Test 106.txt OK
Test 107.txt OK
Test 108.txt OK
